Name Rezept;Zutaten;Saison;Gang;Wein;Bilder
Randensalat mit Rettich;Randen, Weisswein-Essig, Honig, Zwiebeln, Schnittlauch, Crème fraiche ;Herbst;Vorspeise;Weisswein Frisch;https://res.cloudinary.com/swissmilk/image/fetch/ar_16:10,g_xy_center,g_auto,w_1080,c_fill,f_auto,q_auto,fl_progressive/https://api.swissmilk.ch/wp-content/uploads/2019/06/randensalat-mit-meerrettich.jpg
Kartoffelgratin;mehligkochende Kartoffel, Rahm, Milch, Knoblauch, Gruyère;Herbst;Hauptgang;Rotwein Barrique;https://res.cloudinary.com/swissmilk/image/fetch/ar_16:10,g_xy_center,g_auto,w_1728,c_fill,f_auto,q_auto,fl_progressive/https://api.swissmilk.ch/wp-content/uploads/2019/06/kartoffelgratin-2560x1920.jpg
Himbeertiramisu;Eier, Mascarpone, Löffelbiskuit, Zitrone, Himbeeren, Zucker;Sommer, Herbst;Dessert;Süsswein weiss;https://res.cloudinary.com/swissmilk/image/fetch/ar_16:10,g_xy_center,g_auto,w_1080,c_fill,f_auto,q_auto,fl_progressive/https://api.swissmilk.ch/wp-content/uploads/2019/06/himbeer-tiramisu.jpg
Zucchetti süss-sauer;Senfpulver, Zucker, Essig, Zucchetti, Zwiebeln;Sommer;Konservieren;Weisswein Restsüsse;https://res.cloudinary.com/swissmilk/image/fetch/ar_16:10,g_xy_center,g_auto,w_1080,c_fill,f_auto,q_auto,fl_progressive/https://api.swissmilk.ch/wp-content/uploads/2020/01/KO2020_SBLV_35_Zucchetti-s%C3%BCss-sauer-2560x1707.jpg
gefüllte Zucchetti;Hackfleisch, Zwiebel, Petersilie, Reis, Tomaten, Bouillon, Zucchetti;Sommer;Hauptgang;Rotwein leicht;https://res.cloudinary.com/swissmilk/image/fetch/ar_16:10,g_xy_center,g_auto,w_1080,c_fill,f_auto,q_auto,fl_progressive/https://api.swissmilk.ch/wp-content/uploads/2019/06/dulma-gefuellte-zucchetti-2014x2560.jpg
Zucchetticake;Butter, Zucker, Eigelb, Baumnüsse, Mehl, Zucchetti;Sommer;Dessert;Schaumwein Restsüsse;https://res.cloudinary.com/swissmilk/image/fetch/ar_16:10,g_xy_center,g_auto,w_1080,c_fill,f_auto,q_auto,fl_progressive/https://api.swissmilk.ch/wp-content/uploads/2019/06/zucchini-cake.jpg
Zucchettisuppe;Rapsöl, Zwiebel, Zucchetti, Bouillon, Frischkäse;Sommer;Vorspeise;Weisswein fruchtig;https://recipecontent.fooby.ch/18133_3-2_1920-1280.jpg
Kürbissuppe;Zwiebel, Kürbis, Curry, Karotte, Kartoffel, Bouillon;Herbst;Vorspeise;Rotwein fruchtig;https://res.cloudinary.com/swissmilk/image/fetch/ar_16:10,g_xy_center,g_auto,w_1080,c_fill,f_auto,q_auto,fl_progressive/https://api.swissmilk.ch/wp-content/uploads/2019/06/kuerbissuppe-2560x1707.jpg
Kürbiswähe mit Speck;Kürbis, Speckwürfel, Rahm, Gruyère, Mehl, Butter, Rapsöl;Herbst;Hauptgang;Rotwein Barrique;https://res.cloudinary.com/swissmilk/image/fetch/ar_16:10,g_xy_center,g_auto,w_1080,c_fill,f_auto,q_auto,fl_progressive/https://api.swissmilk.ch/wp-content/uploads/2019/06/kuerbiswaehe-mit-speck-2560x1707.jpg
Kürbisparfait;Kürbis, Rahm, Zimt, Ingwer, Nelkenpulver;Herbst;Dessert;Schaumwein Restsüsse;https://res.cloudinary.com/swissmilk/image/fetch/ar_16:10,g_xy_center,g_auto,w_1080,c_fill,f_auto,q_auto,fl_progressive/https://api.swissmilk.ch/wp-content/uploads/2019/06/weihnaechtliches-kuerbisparfait.jpg
Karottensalat mit Himbeeren;Karotten, Himbeeren, Frischkäse;Sommer;Vorspeise;Weisswein fruchtig;https://res.cloudinary.com/swissmilk/image/fetch/ar_16:10,g_xy_center,g_auto,w_1080,c_fill,f_auto,q_auto,fl_progressive/https://api.swissmilk.ch/wp-content/uploads/2019/06/rueeblisalat-mit-himbeeren-2560x2560.jpg
Rüeblirösti;Karotten, Kartoffeln, Petersilie;Sommer;Hauptgang;Rotwein leicht;https://res.cloudinary.com/swissmilk/image/fetch/ar_16:10,g_xy_center,g_auto,w_1080,c_fill,f_auto,q_auto,fl_progressive/https://api.swissmilk.ch/wp-content/uploads/2019/06/rueebliroesti.jpg
Rüeblitorte;Butter, Ei, Zucker, Zitrone, Baumnüsse, Karotten, Mehl, Puderzucker;Sommer;Dessert;Schaumwein Restsüsse;https://res.cloudinary.com/swissmilk/image/fetch/ar_16:10,g_xy_center,g_auto,w_1080,c_fill,f_auto,q_auto,fl_progressive/https://api.swissmilk.ch/wp-content/uploads/2020/02/LM201205_60_Aargauer_Rueblitorte.jpg
Radieschenbrötchen;Mehl, Hefe, Milch, Radieschen, Butter;Frühling;Vorspeise;Weisswein leicht;https://res.cloudinary.com/swissmilk/image/fetch/ar_16:10,g_xy_center,g_auto,w_1080,c_fill,f_auto,q_auto,fl_progressive/https://api.swissmilk.ch/wp-content/uploads/2019/06/radieschen-broetchen.jpg
Spaghetti mit Kohlrabi;Zwiebel, Knoblauch, Kohlrabi, Bouillon, Rahm, Schnittlauch, Spaghetti;Frühling;Hauptgang;Weisswein leicht;https://res.cloudinary.com/swissmilk/image/fetch/ar_16:10,g_xy_center,g_auto,w_1080,c_fill,f_auto,q_auto,fl_progressive/https://api.swissmilk.ch/wp-content/uploads/2019/06/spaghetti-mit-kohlrabisauce.jpg
Rhabarbergötterspeise;Rhabarber, Zucker, Zitronen, Milch, Stärke, Eier, Vanillestängel, Löffelbiskuit;Frühling;Dessert;Gewürztraminer;https://res.cloudinary.com/swissmilk/image/fetch/ar_16:10,g_xy_center,g_auto,w_1080,c_fill,f_auto,q_auto,fl_progressive/https://api.swissmilk.ch/wp-content/uploads/2019/06/goetterspeise-im-glas-mit-rhabarberkompott-2560x1707.jpg
